time,load_kw,pv_forecast_kw,pv_actual_kw,price_yuan_kwh
00:00,58.1115,0.0000,0.0000,0.3600
00:15,58.3111,0.0000,0.0000,0.3600
00:30,58.1915,0.0000,0.0000,0.3600
00:45,58.1568,0.0000,0.0000,0.3600
01:00,58.0495,0.0000,0.0000,0.3600
01:15,58.1253,0.0000,0.0000,0.3600
01:30,58.3585,0.0000,0.0000,0.3600
01:45,58.6081,0.0000,0.0000,0.3600
02:00,58.6465,0.0000,0.0000,0.3600
02:15,58.5105,0.0000,0.0000,0.3600
02:30,58.3124,0.0000,0.0000,0.3600
02:45,58.1992,0.0000,0.0000,0.3600
03:00,58.1461,0.0000,0.0000,0.3600
03:15,58.1763,0.0000,0.0000,0.3600
03:30,58.2894,0.0000,0.0000,0.3600
03:45,58.3958,0.0000,0.0000,0.3600
04:00,58.6208,0.0000,0.0000,0.3600
04:15,59.2467,0.0000,0.0000,0.3600
04:30,60.2093,0.0000,0.0000,0.3600
04:45,61.5443,0.0000,0.0000,0.3600
05:00,63.1138,0.0000,0.0000,0.3600
05:15,65.0687,0.0000,0.0000,0.3600
05:30,67.0154,0.0000,0.0000,0.3600
05:45,69.0158,0.0000,0.0000,0.3600
06:00,71.4711,1.1638,1.0631,0.3600
06:15,74.1436,4.0794,3.8663,0.3600
06:30,77.7036,8.0534,7.8550,0.3600
06:45,81.8429,12.8415,13.1734,0.3600
07:00,86.1327,18.2830,19.4356,0.7200
07:15,90.1746,24.2497,25.5013,0.7200
07:30,93.3746,30.6297,31.9800,0.7200
07:45,95.6470,37.3199,37.1650,0.7200
08:00,97.3308,44.2234,42.3193,0.7200
08:15,98.2880,51.2474,49.2706,0.7200
08:30,98.6576,58.3026,54.9461,0.7200
08:45,98.4004,65.3031,62.3634,0.7200
09:00,97.0674,72.1665,69.1910,0.7200
09:15,95.2591,78.8138,73.5375,0.7200
09:30,93.0808,85.1703,77.7104,0.7200
09:45,90.9923,91.1654,77.7106,0.7200
10:00,89.5658,96.7338,73.9496,1.1600
10:15,87.9607,101.8151,69.4125,1.1600
10:30,86.8799,106.3548,65.8947,1.1600
10:45,86.3032,110.3046,65.6059,1.1600
11:00,85.5940,113.6226,71.9256,1.1600
11:15,85.7496,116.2739,80.5711,1.1600
11:30,85.4664,118.2305,89.8941,1.1600
11:45,84.7623,119.4720,98.0522,1.1600
12:00,83.9956,119.9853,102.3675,0.7600
12:15,82.9681,119.7652,106.6261,0.7600
12:30,82.4651,118.8138,109.4911,0.7600
12:45,82.1509,117.1412,115.0090,0.7600
13:00,82.3204,114.7648,118.8798,0.7600
13:15,82.4800,111.7097,117.4590,0.7600
13:30,82.4354,108.0080,113.5469,0.7600
13:45,82.2604,103.6988,100.0393,0.7600
14:00,81.5025,98.8279,83.3425,0.7600
14:15,80.6887,93.4475,67.8996,0.7600
14:30,80.0064,87.6155,51.7041,0.7600
14:45,79.8861,81.3953,44.1980,0.7600
15:00,80.2472,74.8556,42.2777,0.7600
15:15,81.1360,68.0694,43.3437,0.7600
15:30,82.2058,61.1141,46.5804,0.7600
15:45,83.0936,54.0706,46.8920,0.7600
16:00,84.1089,47.0236,44.2085,0.7600
16:15,85.1324,40.0610,38.7781,0.7600
16:30,87.0624,33.2741,32.7224,0.7600
16:45,89.4208,26.7580,26.0692,0.7600
17:00,92.6673,20.6132,20.0251,1.2200
17:15,96.4677,14.9474,15.0041,1.2200
17:30,99.6174,9.8810,10.0815,1.2200
17:45,102.8834,5.5587,5.8587,1.2200
18:00,105.6439,2.1800,2.3726,1.2200
18:15,107.8547,0.1358,0.1471,1.2200
18:30,110.1553,0.0000,0.0000,1.2200
18:45,111.8313,0.0000,0.0000,1.2200
19:00,112.5660,0.0000,0.0000,1.2200
19:15,112.6427,0.0000,0.0000,1.2200
19:30,111.4607,0.0000,0.0000,1.2200
19:45,109.3641,0.0000,0.0000,1.2200
20:00,106.5508,0.0000,0.0000,1.2200
20:15,102.8824,0.0000,0.0000,1.2200
20:30,98.6728,0.0000,0.0000,1.2200
20:45,94.4315,0.0000,0.0000,1.2200
21:00,90.2697,0.0000,0.0000,1.2200
21:15,85.9321,0.0000,0.0000,1.2200
21:30,81.7575,0.0000,0.0000,1.2200
21:45,77.2998,0.0000,0.0000,1.2200
22:00,72.9471,0.0000,0.0000,0.4200
22:15,69.7874,0.0000,0.0000,0.4200
22:30,67.3856,0.0000,0.0000,0.4200
22:45,65.8973,0.0000,0.0000,0.4200
23:00,64.7252,0.0000,0.0000,0.4200
23:15,62.9596,0.0000,0.0000,0.4200
23:30,61.1154,0.0000,0.0000,0.4200
23:45,59.3065,0.0000,0.0000,0.4200
